societyTypeId,level,name,shortDescription,historicalReference,glantriExamples,notes,source_name
forager_ritual_tribal,1,Forager / ritual-tribal,"Mobile or semi-settled society with oral tradition, limited formal hierarchy, and little bureaucracy.",England/Stonehenge,,Source sheet note: bronze age,Hunter/gatherer
pastoral_clan_nomadic,2,Pastoral clan / nomadic warrior,"Kin-based, mobile, animal-centered society with practical martial and survival training.","old Norse, England 600s",Scandia,,Clans & Nomad
early_agrarian_proto_state,2,Early agrarian chiefdom / proto-state,Settled farming society with local hierarchy and growing specialization.,"Ancient Sumer, Ancient crete",,Source sheet note: bronze age,Ancient agricultural states
bronze_age_palace_state,3,Bronze Age palace state,"Palace-centered society with elite coordination, recordkeeping, and specialized craft.","Ancient Sumer, Ancient crete",,Use as palace-state variant of the source row,Ancient agricultural states
temple_state_literate,3,Temple-state / early literate agrarian state,"Early literate state with priesthood, scribal culture, taxation, and formal ritual order.","Ancient Sumer, Ancient crete",,Literate temple-state interpretation of source row,Ancient agricultural states
imperial_agrarian_bureaucracy,4,Imperial agrarian bureaucracy,"Large organized state with formal offices, recordkeeping, and infrastructure.","Ancient Egypt, newer kingdom",,,Early agricultural empires
feudal_manorial_kingdom,4,Feudal / manorial kingdom,"Rank-based landholding society with noble households, retainers, and local obligations.",medevieal feudals,Glantri,,Kingdoms
classical_polis_city_state,5,Classical polis / city-state civilization,"Urban civic society with rhetoric, education, public life, and structured elite culture.",Athens 300bc,Scyria,,Greek kingdoms
imperial_classical_high_civ,5,Imperial classical / Hellenistic-Roman high civilization,"Highly organized urban imperial culture with law, engineering, and broad learned life.","late rome, byszantine empire",Thyasis,,golden age civilization
court_bureaucratic_empire,5,Court-bureaucratic high medieval empire,"Literate imperial court culture with ceremony, bureaucracy, and high-status administration.","late rome, byszantine empire",Thyasis,Court-bureaucratic interpretation of source civilization row,golden age civilization
renaissance_city_state,6,Commercial renaissance city-state / principality,"Urban commercial elite culture with diplomacy, finance, advanced technique, and refined court life.",italian city states,Iest,Source sheet note: modern,Renaissance state
