professionSubtypeId,professionFamilyId,name,shortDescription,contextNotes,verbatimDescription,minimumSocietyLevel,typicalSocietyTypeIds,addedCoreTrainingGroupIds,addedCoreSkillIds,addedFavoredTrainingGroupIds,addedFavoredSkillIds,suggestedSpecializationIds,notes
temple_scribe,scholar_scribe,Temple Scribe,"Sacred record-keeper trained in doctrine, texts, and ritual learning.",Preserves doctrine and manages sacred records.,Temple Scribe,3,[],[],"[""theology""]","[""sacred_learning""]","[""ritual_interpretation"", ""divination"", ""history""]","[""specific_language""]",Source: Professions.xlsx / Future professions.
court_scribe_clerk,scholar_scribe,Court Scribe / Clerk,"Office-trained writer and record-keeper serving a ruler, court, or bureaucracy.","Handles petitions, decrees, correspondence, and official records.",Court Scribe / Clerk,4,[],[],"[""administration""]",[],"[""etiquette"", ""courtly_protocol"", ""law"", ""bureaucratic_writing""]","[""etiquette_by_culture""]",Source: Professions.xlsx / Future professions.
local_trader,merchant_trader,Local Trader,"Market trader dealing in ordinary goods, prices, and practical exchange.",Most common merchant subtype.,Local Trader,2,[],[],"[""bookkeeping""]",[],"[""teamstering"", ""animal_care""]",[],Source: Professions.xlsx / Future professions.
household_courtier,courtier_diplomat,Household Courtier,"Court insider skilled in favor, ceremony, and household politics.",Thrives in noble households and princely courts.,Household Courtier,4,[],[],"[""insight"", ""intrigue""]",[],"[""detect_lies"", ""seduction"", ""social_perception""]","[""etiquette_by_culture""]",Source: Professions.xlsx / Future professions.
folk_healer,healer,Folk Healer,"Practical local healer using herbs, urgent care, and traditional knowledge.","Belongs to village, clan, and low-literacy settings.",Folk Healer,1,[],[],"[""herb_lore"", ""first_aid""]","[""healing_practice"", ""herb_and_remedy_craft""]","[""nursing"", ""poison_lore"", ""insight""]","[""bone_setting"", ""obstetrics"", ""poison_treatment""]",Source: Professions.xlsx / Future professions.
builder_master_mason,engineer_builder,Builder / Master Mason,Construction specialist focused on durable works and physical building.,"Emphasizes stone, timber, layout, and practical site work.",Builder / Master Mason,3,[],"[""technical_measurement""]","[""stoneworking"", ""carpentry""]",[],"[""administration""]",[],Source: Professions.xlsx / Future professions.
deck_sailor,sailor_navigator,Deck Sailor,Working crewman focused on routine shipboard labor and seamanship.,Baseline sailor.,Deck Sailor,2,[],"[""maritime_crew_training""]","[""boat_handling""]",[],"[""ropework"", ""swim""]",[],Source: Professions.xlsx / Future professions.
herdsman_subtype,herdsman_rider,Herdsman,Rural stock-worker managing grazing animals and everyday animal care.,Clearest pastoral subtype.,Herdsman,1,[],"[""animal_husbandry""]","[""herding"", ""animal_care""]",[],"[""bargaining""]",[],Source: Professions.xlsx / Future professions.
burglar,thief_infiltrator,Burglar,"Technical intruder focused on entry, locks, traps, and hidden access.",Classic controlled-entry thief.,Burglar,2,[],"[""covert_entry""]","[""lockpicking"", ""search""]","[""trap_and_intrusion_work""]","[""hide""]",[],Source: Professions.xlsx / Future professions.
folk_performer,performer,Folk Performer,Public entertainer using broad expressive skills for common audiences.,Oldest and widest form of the profession.,Folk Performer,1,[],"[""performance_basics""]","[""storytelling"", ""singing""]",[],"[""music""]",[],Source: Professions.xlsx / Future professions.
tribal_warrior,soldier,Tribal Warrior,"Clan or tribal fighter shaped by raid, hunt, and direct violence.",Best for low-organization war cultures where fieldcraft and personal combat matter more than drill.,Tribal Warrior,1,[],"[""basic_melee_training""]","[""perception""]",[],"[""brawling"", ""throwing"", ""bow""]","[""regional_martial_style""]",Source: Professions.xlsx / Future professions.
levy_infantry,soldier,Levy Infantry,Common soldier with basic organized infantry training.,Basic but coherent troop package.,Levy Infantry,2,[],"[""basic_melee_training"", ""defensive_soldiering""]","[""perception""]",[],"[""first_aid"", ""polearms"", ""one_handed_concussion_axe"", ""battlefield_awareness""]",[],Source: Professions.xlsx / Future professions.
cavalry_mounted_retainer,soldier,Cavalry / Mounted Retainer,Mounted combatant using mobility and multiple mounted weapons in war.,"Proper cavalry should normally know both Lance and 1-handed Edged plus Ride, Dodge, and Parry.",Cavalry / Mounted Retainer,2,[],"[""mounted_warrior_training""]","[""perception""]","[""officer_training"", ""veteran_soldiering""]","[""animal_care"", ""battlefield_awareness""]",[],Source: Professions.xlsx / Future professions.
actor,performer,Actor,"Role-based performer using speech, presentation, and imitation for stage or social effect.","This subtype fits staged performance, civic spectacle, court entertainment, and social impersonation traditions.",Actor,3,[],"[""formal_performance""]","[""acting"", ""recitation""]",[],"[""disguise"", ""insight"", ""etiquette"", ""storytelling""]",[],Completed package in review pass.
animal_trainer,herdsman_rider,Animal Trainer,"Working-animal specialist trained to condition beasts for labor, transport, hunting, or war.",Best for roles where animals must be taught controlled tasks beyond basic care.,Animal Trainer,2,[],"[""animal_husbandry""]","[""animal_training"", ""animal_care""]","[""mounted_service""]","[""riding"", ""falconry"", ""herding""]",[],Completed package in final completion pass.
assassin,thief_infiltrator,Assassin,"Covert killer trained in stealth, approach, and controlled lethal action.","Belongs in criminal, political, military, or clandestine settings where murder is deliberate and specialized rather than merely violent.",Assassin,3,[],"[""covert_entry"", ""fieldcraft_stealth""]","[""stealth"", ""disguise""]",[],"[""search"", ""detect_lies"", ""poison_lore"", ""one_handed_edged""]",[],Completed package in review pass.
bandit,thief_infiltrator,Bandit,"Predatory outlaw using ambush, intimidation, and opportunistic violence.","Best for rural roads, frontier spaces, and weakly policed routes where direct theft and force matter more than urban finesse.",Bandit,1,[],"[""fieldcraft_stealth""]","[""stealth"", ""perception""]",[],"[""bargaining"", ""one_handed_concussion_axe"", ""brawling""]",[],Completed package in review pass.
beggar,thief_infiltrator,Beggar,"Street survivalist trained in reading people, soliciting support, and moving under notice without consequence.","Urban margin subtype that may overlap with informants, thieves, or social survivors.",Beggar,1,[],[],"[""insight"", ""bargaining""]",[],"[""stealth"", ""social_perception"", ""detect_lies""]",[],Completed package in review pass.
bodyguard,soldier,Bodyguard,Protective combat specialist focused on keeping a client or patron alive in dangerous situations.,"Protective martial specialist serving an individual, household, or patron.",Bodyguard,2,[],"[""advanced_melee_training""]","[""perception"", ""battlefield_awareness""]","[""veteran_soldiering""]","[""insight"", ""captaincy""]",[],Completed package in review pass.
bounty_hunter,thief_infiltrator,Bounty Hunter,"Pursuit and capture specialist using tracking-adjacent search, intimidation, and controlled violence.","Source-listed occupation. Reassigned from Herdsman/Rider to Thief/Infiltrator because the role is primarily pursuit, coercive search, urban/frontier tracking, and controlled violence rather than animal-working.",Bounty Hunter,2,[],"[""covert_entry"", ""fieldcraft_stealth""]","[""search"", ""perception""]",[],"[""stealth"", ""captaincy"", ""one_handed_edged"", ""brawling""]",[],Completed package in review pass. Family corrected to Thief/Infiltrator.
bureaucrat,scholar_scribe,Bureaucrat,"Office-trained administrator handling records, routine governance, and institutional procedure.","This subtype fits literate state, temple, civic, and court systems where regular office work, records, taxation, and controlled procedure matter more than broad scholarly learning.",Bureaucrat,4,[],"[""civic_learning"", ""commercial_administration""]","[""administration"", ""bureaucratic_writing""]",[],"[""law"", ""bookkeeping"", ""etiquette"", ""history""]","[""specific_language""]",Completed package in review pass. Office/civil cluster.
caravan_guard,soldier,Caravan Guard,"Escort fighter responsible for caravan security, route defense, and protective travel combat.",Escort and route-security martial subtype for caravans and overland trade.,Caravan Guard,2,[],"[""basic_melee_training""]","[""perception""]","[""field_soldiering""]","[""riding"", ""throwing"", ""first_aid""]",[],Completed package in review pass.
cavalry,soldier,Cavalry,"Mounted fighting subtype trained in mobility, lance use, and mounted battlefield action.","Proper cavalry should normally know both lance and sidearm use, plus ride, dodge, and parry. This is the broad mounted-war subtype rather than a noble-specific retainer branch.",Cavalry,2,[],"[""mounted_warrior_training""]","[""perception"", ""mounted_combat""]","[""veteran_soldiering""]","[""animal_care"", ""battlefield_awareness"", ""captaincy""]",[],Completed package in review pass.
champion,soldier,Champion,Elite personal combat specialist known for superior martial skill and reputation.,"Fits dueling, elite retainer, household, arena, or heroic combat cultures.",Champion,3,[],"[""advanced_melee_training""]","[""perception"", ""battlefield_awareness""]","[""veteran_soldiering""]","[""brawling"", ""captaincy""]","[""fencing"", ""gladiatorial_style""]",Completed package in final completion pass. Elite martial subtype.
chariot_driver,herdsman_rider,Chariot Driver,Vehicle-and-team specialist skilled in driving animal-drawn war or transport chariots.,Mounted/vehicle subtype for societies where chariot combat or prestige transport is relevant.,Chariot Driver,2,[],"[""transport_and_caravan_work""]","[""teamstering"", ""animal_care""]","[""mounted_service""]","[""riding"", ""captaincy"", ""throwing""]",[],Completed package in final completion pass.
clan_warriors,soldier,Clan Warriors,"Kin-based martial subtype trained through collective warfare, raid culture, and clan obligation.",Close to tribal warrior but with stronger social identity as a communal fighting body.,Clan Warriors,1,[],"[""basic_melee_training""]","[""perception"", ""one_handed_concussion_axe""]","[""field_soldiering""]","[""throwing"", ""bow"", ""battlefield_awareness""]",[],Completed package in final completion pass.
conman,thief_infiltrator,Conman,"Fraud specialist using lies, confidence, and social manipulation for gain.",Urban and commercial criminal subtype centered on persuasion and deception rather than entry or force.,Conman,2,[],"[""political_acumen""]","[""insight"", ""disguise""]",[],"[""bargaining"", ""detect_lies"", ""etiquette"", ""seduction""]",[],Completed package in review pass.
courtesan,courtier_diplomat,Courtesan,"Elite social specialist using attraction, conversation, and status-sensitive influence.","Belongs in courts, elite cities, and patronage cultures where emotional reading and social access can be professionalized.",Courtesan,4,[],"[""courtly_formation"", ""political_acumen""]","[""seduction"", ""insight""]",[],"[""etiquette"", ""detect_lies"", ""social_perception"", ""intrigue""]","[""etiquette_by_culture""]",Completed package in review pass.
crafter,engineer_builder,Crafter,"General artisan subtype covering trained making, repair, and workshop practice.","Broad catch-all craft subtype when a more specific building, smithing, or production role is not needed.",Crafter,1,[],[],"[""carpentry"", ""leatherworking""]",[],"[""weaving"", ""pottery"", ""smithing""]",[],Completed package in final completion pass.
dancer_acrobat,performer,Dancer/Acrobat,Dancer/Acrobat source-listed occupation subtype.,Source-listed occupation retained in the pack and awaiting deeper rule-detail refinement if needed.,Dancer/Acrobat,1,[],[],[],[],[],[],Source: Professions.xlsx / Future professions.
docker,engineer_builder,Docker,"Port laborer trained in heavy handling, loading, rope use, and practical waterfront work.","Working subtype for docks, warehouses, quays, and port logistics.",Docker,2,[],[],"[""ropework"", ""teamstering""]","[""maritime_crew_training""]","[""sailing"", ""animal_care"", ""run""]",[],Completed package in final completion pass.
