professionFamilyId,name,shortDescription,contextNotes,verbatimDescription,minimumSocietyLevel,typicalSocietyTypeIds,coreTrainingGroupIds,coreSkillIds,favoredTrainingGroupIds,favoredSkillIds,suggestedSpecializationIds,notes
scholar_scribe,Scholar / Scribe,"Literate professional trained in records, texts, and formal learning.","Broad literate profession of archives, schools, courts, and temples.",,3,[],"[""literate_foundation"", ""civic_learning""]",[],[],"[""history"", ""theology"", ""administration"", ""philosophy"", ""specific_language"", ""rhetorical_composition"", ""law"", ""etiquette""]","[""specific_language"", ""etiquette_by_culture""]",
merchant_trader,Merchant / Trader,"Commercial professional trained in exchange, valuation, and organized trade.","Connects goods, routes, buyers, and records.",,2,[],"[""mercantile_practice""]",[],"[""commercial_administration""]","[""language"", ""etiquette"", ""teamstering"", ""riding"", ""sailing"", ""banking"", ""insight"", ""appraisal""]","[""specific_language""]",
courtier_diplomat,Courtier / Diplomat,"Elite social and political professional trained in ceremony, rank, and influence.","Operates where status, presentation, and political judgment matter.",,4,[],"[""courtly_formation""]",[],"[""political_acumen""]","[""language"", ""law"", ""rhetorical_composition"", ""detect_lies"", ""specific_language"", ""administration"", ""social_perception""]","[""etiquette_by_culture"", ""specific_language""]",
healer,Healer,"Caregiver trained in immediate care, treatment, remedies, and later advanced medical branches.","Covers folk, temple, learned, and court healing subtypes.",,1,[],[],[],"[""healing_practice"", ""herb_and_remedy_craft""]","[""theology"", ""concentration"", ""medicine"", ""administration"", ""etiquette""]","[""surgery"", ""bone_setting"", ""obstetrics"", ""poison_treatment"", ""battlefield_surgery"", ""heart_surgery""]",
engineer_builder,Engineer / Builder,"Technical professional trained in design, measurement, and practical works.","Shapes roads, structures, estates, fortifications, and major projects.",,4,[],"[""technical_measurement""]",[],[],"[""surveying"", ""mechanics"", ""administration"", ""smithing"", ""mathematics""]",[],
sailor_navigator,Sailor / Navigator,"Maritime professional trained in crew work, vessel handling, and water travel.","Exists across many coastal and riverine cultures, but becomes more specialized as navigation and trade grow.",,2,[],"[""maritime_crew_training""]",[],"[""maritime_navigation""]","[""boat_handling"", ""ropework"", ""language"", ""trading"", ""insight""]","[""navigation_by_environment""]",
herdsman_rider,Herdsman / Rider,"Animal-working professional trained in care, movement, and practical use of animals.","Covers pastoral, mounted, transport, and scouting roles.",,1,[],[],[],"[""animal_husbandry"", ""mounted_service"", ""transport_and_caravan_work""]","[""bargaining""]",[],
thief_infiltrator,Thief / Infiltrator,"Covert operator trained in stealth, entry, concealment, and infiltration.","Covers burglary, spycraft, field stealth, and other covert roles.",,2,[],[],[],"[""street_theft"", ""trap_and_intrusion_work"", ""fieldcraft_stealth""]","[""detect_lies"", ""etiquette"", ""conceal_object"", ""camouflage""]","[""etiquette_by_culture""]",
performer,Performer,"Expressive social professional trained in music, movement, narrative, or formal presentation.","Performers exist almost everywhere, but subtype and social role vary strongly by culture, setting, and audience.",,1,[],[],[],"[""performance_basics"", ""formal_performance""]","[""seduction"", ""disguise"", ""etiquette"", ""language"", ""rhetorical_composition"", ""singing"", ""dancing""]","[""etiquette_by_culture"", ""specific_language""]",
soldier,Soldier,"Martial professional trained for armed combat, defense, and battlefield survival.",Broad military family; subtype varies strongly. Real melee training normally includes attack skill plus Dodge and Parry.,,1,[],[],[],"[""veteran_soldiering"", ""officer_training"", ""veteran_leadership""]","[""perception"", ""formation_fighting"", ""riding"", ""battlefield_awareness"", ""tactics"", ""captaincy"", ""first_aid"", ""weapon_maintenance""]","[""fencing"", ""sword_and_buckler_or_main_gauche_style"", ""gladiatorial_style"", ""regional_martial_style""]",
