groupId,name,groupKind,shortDescription,skillIds,notes
animal_handling,Animal Handling,taxonomy,"Animal care, training, riding, and related work.","[""animal_care"", ""animal_training"", ""herding"", ""riding"", ""teamstering"", ""falconry""]",
athletics,Athletics,taxonomy,"Movement, balance, climbing, swimming, and body control.","[""climb"", ""run"", ""jump"", ""swim"", ""balance"", ""acrobatics""]",
humanities,Humanities,taxonomy,"Literacy, language, history, theology, law, and related learned culture.","[""literacy"", ""language"", ""specific_language"", ""history"", ""theology"", ""philosophy"", ""law"", ""rhetorical_composition"", ""etiquette"", ""etiquette_by_culture"", ""heraldry"", ""courtly_protocol"", ""insight"", ""social_perception"", ""detect_lies"", ""seduction""]",
medicine_group,Medicine,taxonomy,"Healing, remedies, surgery, and related care.","[""medicine"", ""first_aid"", ""herb_lore"", ""poison_lore"", ""pharmacy"", ""nursing"", ""surgery"", ""bone_setting"", ""obstetrics"", ""poison_treatment"", ""battlefield_surgery"", ""heart_surgery""]",
operations,Operations,taxonomy,"Trade, administration, accounting, and practical organization.","[""bureaucratic_writing"", ""bargaining"", ""gambling"", ""trading"", ""banking"", ""administration"", ""intrigue"", ""bookkeeping"", ""appraisal""]",
performance_group,Performance,taxonomy,"Expressive, staged, musical, and spoken performance.","[""singing"", ""dancing"", ""storytelling"", ""music"", ""acting"", ""recitation"", ""oratory""]",
physical_science,Physical Science,taxonomy,"Measurement, mathematics, astronomy, and related inquiry.","[""measurement"", ""mathematics"", ""astronomy"", ""alchemy"", ""natural_philosophy"", ""surveying"", ""mechanics""]",
security,Security,taxonomy,"Search, locks, traps, concealment, and related covert handling.","[""perception"", ""search"", ""conceal_object"", ""trap_handling"", ""lockpicking"", ""pickpocket""]",
stealth_group,Stealth,taxonomy,"Stealth, hiding, camouflage, and disguise.","[""stealth"", ""hide"", ""camouflage"", ""disguise""]",
combat_group,Combat,taxonomy,"Attack, defense, weapon-family skills, and combat styles.","[""dodge"", ""parry"", ""brawling"", ""one_handed_edged"", ""one_handed_concussion_axe"", ""two_handed_edged"", ""polearms"", ""two_handed_concussion_axe"", ""lance"", ""throwing"", ""sling"", ""bow"", ""longbow"", ""crossbow"", ""mounted_combat"", ""fencing"", ""sword_and_buckler_or_main_gauche_style"", ""gladiatorial_style"", ""regional_martial_style""]",
military_group,Military,taxonomy,"Leadership, battlefield skill, veteran nerve, and unit fighting.","[""perception"", ""weapon_maintenance"", ""combat_experience"", ""battlefield_awareness"", ""formation_fighting"", ""mounted_combat"", ""tactics"", ""captaincy""]",
craft_group,Craft,taxonomy,"Pottery, weaving, carpentry, smithing, and related making skills.","[""pottery"", ""weaving"", ""leatherworking"", ""carpentry"", ""tailoring"", ""baking"", ""brewing"", ""stoneworking"", ""smithing"", ""blacksmith"", ""armorer"", ""weaponsmith"", ""weapon_maintenance""]",
mental_group,Mental,taxonomy,"Concentration, memory, self-control, meditation, and awareness.","[""concentration"", ""memory"", ""self_control"", ""meditation"", ""perception""]",
mystical_group,Mystical,taxonomy,"Divination, omen reading, ritual interpretation, and astrology.","[""divination"", ""omen_reading"", ""ritual_interpretation"", ""astrology"", ""augury""]",
wilderness_group,Wilderness,taxonomy,"Seamanship, navigation, riding, animal handling, and outdoor survival-adjacent practice.","[""animal_care"", ""animal_training"", ""herding"", ""riding"", ""teamstering"", ""falconry"", ""sailing"", ""navigation"", ""navigation_by_environment"", ""ropework"", ""boat_handling""]",
